Company_Code,Networth Next Year,Capital Employed,Net Working Capital ,Current Assets ,Total Sales,Retained Earnings,PBDT,PBIT,PBT,PBT_as_%_of_total_income,PAT,CP,Book Value (Adj.) (Unit Curr),EPS (Annualised) (Adjusted) (Unit Curr),APATM (%)[Latest],Creditors Velocity (Days),Total Liabilities,Total Equity,Market Value of Equity,total assets,Cost of Production,Current Ratio,Gross Block 
16974,-8021.6,-1007.24,-1076.34,40.5,0,7.6,-926.52,-185.53,-932.99,-122.7618421,-932.99,-926.52,-167.58,0,0,0,5936.03,419.36,0,6355.39,137.67,0.02,474.3
21214,-3986.19,4458.2,-1098.88,486.86,2892.73,46.27,-4.32,35.53,-615.25,-13.29695267,-615.25,-4.32,-15.18,0,-87.18,101,7410.18,1954.93,1544.39,9365.11,2572.46,0.08,9070.86
14852,-3192.58,7714.68,4496.25,9097.64,392.13,9.55,-1086.71,-381.1,-1185.89,-124.1769634,-897.7,-798.52,94.14,0,-7961.51,558,6944.54,53.84,1220.81,6998.38,408.51,1.06,1281.54
2439,-3054.51,2353.88,-2612.42,1034.12,1354.39,223.85,-677.57,-336.73,-801.29,-3.579584543,-801.29,-677.57,-39.64,0,-51.58,63,2326.05,157.3,194.27,2483.35,1326.99,0.09,1033.69
23505,-2967.36,4675.33,1836.23,4685.81,38.72,9.82,-944.42,-710.13,-1006.69,-102.5142566,-864.58,-802.31,-212.89,0,274.79,346,5740.9,50.3,113.68,5791.2,186.29,0.5,1084.2
2484,-2519.4,-1824.75,-1843.74,0,0,0,0,0,0,0,0,0,-140.47,0,0,0,694.64,179.35,0,873.99,0,0,0.02
23633,-2125.05,1536.08,804.82,834.86,135.79,0.63,-1204.87,-995.5,-1267.23,-2011.47619,-1267.23,-1204.87,-337.17,0,-1264.22,12,2567.65,30.82,58.26,2598.47,896.34,0.03,949.98
3226,-2100.56,979.13,263.95,705.76,72.46,6.17,-174.47,-221.67,-227.9,-36.93679092,-229.87,-176.44,-42.37,0,-610.8,622,2664.04,45.92,39.03,2709.96,115.92,0.41,920.67
1541,-1695.75,-613.79,-1121.96,117.67,520.79,3.62,-100.89,-213.05,-239.89,-66.2679558,-239.89,-100.89,-25.49,0,-25.91,145,597.82,61.23,204.49,659.05,669,0.12,1700.27
2334,-1677.18,86.35,-390.53,2536.78,574.33,250.78,-281.81,-139.88,-297.13,-1.184823351,-297.13,-281.81,-74.3,0,8.71,913,1220.83,288,588.96,1508.83,772.3,0.65,1329.82
430,-1403.7,-220.49,-611.84,22.29,44.35,-3.88,-5.05,-6.9,-6.96,1.793814433,-6.74,-4.83,-211.35,0,-11.9,427,1158.34,66.28,0,1224.62,44.54,0.01,399.8
4169,-1243.33,2057.86,565.64,868.34,1829.21,4.05,-295.21,-435.02,-441.39,-108.9851852,-440.51,-294.33,-892.87,0,-2.03,,3063.3,11.48,25.08,3074.78,2086.31,0.6,2141.72
5926,-1138.48,39.83,-147.75,209.05,23.54,0.11,-331.45,-342.93,-343.08,-3118.909091,-343.08,-331.45,-232.18,0,0,181,1157.04,9.63,15.36,1166.67,135.12,0.14,236.5
3367,-1038.86,602.19,-1456.25,548.14,5243.07,158.44,-560.42,-522.02,-687.05,-4.336341833,-687.05,-560.42,-26.94,0,6.96,64,1477.34,599.45,1300.81,2076.79,5487.15,0.26,2113.77
2302,-981.21,-32.81,-197.77,131.31,150.13,8.45,-206.69,-164.22,-215.49,-25.50177515,-215.49,-206.69,-119.54,0,-143.57,160,402.03,67.27,94.71,469.3,269.83,0.15,639.79
4397,-949.14,885.37,766.7,1176.47,1637.82,16.8,71.93,139.27,50.49,3.005357143,33.9,55.34,42.39,8.32,-26.82,84,701.52,39.77,2198.09,741.29,1373.21,0.69,144.13
24936,-854.42,807.85,300.83,501.39,313.08,-448.72,-478.28,-634.69,-639.24,1.424585488,-628.41,-467.45,-19.57,0,-24.96,14,919.71,29.5,24.9,949.21,451.97,0.28,908.28
24619,-838.28,2799.73,789.42,2181.38,1477.74,34.72,-363.96,-115.12,-490.12,-14.11635945,-386.37,-260.21,-24.51,0,-12.91,203,2980.54,73.78,84.63,3054.32,1533.98,0.78,2490.95
6927,-834.09,-7.54,-8.45,6.1,0.15,0.07,-1.11,-1.13,-1.14,-16.28571429,-1.14,-1.11,-33715.7,0,-358.82,9449,825.61,0.25,0,825.86,0.36,0.41,1.24
27371,-814.48,917.03,570.34,,28.33,0.29,-51.62,-43.56,-84.39,-291,-84.39,-51.62,55.12,0,-2446.71,187,781.62,24.05,53.88,805.67,58.37,0.56,320.07
351,-781.73,-465.8,-528.76,140.95,203.77,3.56,-68.48,-37.94,-81.09,-22.77808989,-81.09,-68.48,-85.79,0,-49.49,286,103.93,81.98,53.78,185.91,200.26,0.17,528.48
